Park,Name,Type,Land,Minimum height,Samuel,Madeline,Maxwell,MJ,Melissa,Melody,Nadine,Melinda,Sum
,Studio Tour,Ride/show,Upper,"40""",4,4,2,2,1,,4,4,21
,Despicable Me Minion Mayhem,Ride,Upper,"40""",-1,4,3,1,2,4,,2,15
,Flight of the Hippogriff,Ride,Upper,"39""",1,4,4,2,1,,,1,13
,Kung Fu Panda,Show,Upper,None,1,1,2,1,1,4,,4,14
,Harry Potter and the Forbidden Journey,Ride,Upper,"48""",4,4,2,2,-1,,4,4,19
,DinoPlay,Play area,Lower,"48"" (?)",-1,-1,1,1,-1,,,-1,-2
,Jurassic World,Ride,Lower,"42""",4,-1,4,2,2,,,4,15
,Mario Kart,Ride,Lower,"40""",1,1,-1,1,2,4,,1,9
,Revenge of the Mummy,Ride,Lower,"48""",4,-1,4,2,-1,,,1,9
,Silly Swirly,Small ride,Upper,None,1,1,1,1,1,,,-1,4
,Super Silly Fun Land,Play area,Upper,None,1,-1,1,1,-1,,,-1,0
,The Secret Life of Pets,Ride,Upper,"34""",-1,1,2,1,2,4,,1,10
,The Simpsons Ride,Ride,Upper,"40""",2,4,1,1,2,,,2,12
,Transformers,Ride,Lower,"40""",2,1,1,1,2,,,2,9
,Waterworld,Show,Upper,None,-1,4,1,1,,,,4,9